Report Number,title,abstract,link,author,outlier
,中文版,"Labor provisions in IIAs should focus on corporate activity rather than governmental action. In order to encourage corporations to embrace the highest available international standards, labor provisions in IIAs should make reference to multilateral instruments that entail market-based incentives to promote labor rights on a CSR basis. ",/sites/default/files/content/docs/publications/No-124-Tamayo-Álvarez-Gonzalez-Perez-and-Rodriguez-Rios-FINAL-CHINESE-version.pdf,,
No 123:,Cost allocation in investment arbitration: Forward toward incentivization,No 123:,/sites/default/files/content/docs/publications/No-123-Nicholson-and-Gaffney-FINAL1.pdf,",” by James Nicholson and John Gaffney",
,中文版,"In allocating costs in investment treaty arbitration, a “loser-pays” principle would incentivize economically-rational behavior by parties, including when deciding whether to bring a claim and/or settle. This principle would promote greater efficiency in investment treaty arbitration. ",/sites/default/files/content/docs/publications/No-123-Nicholson-and-Gaffney-FINAL-CHINESE-version.pdf,,
No 122:,"The rise of FDI income, and what it means for the balance of payments of developing countries",No 122:,/sites/default/files/content/docs/publications/No-122-Pérez-Ludeña-FINAL.pdf,",” by Miguel Pérez Ludeña",
,中文版,"FDI is now the largest external liability in developing countries and is being paid through outflows of FDI income, or profits of foreign companies. These profits have grown to a point in which they may play an important role in a potential balance of payments crisis. ",/sites/default/files/content/docs/publications/No-122-Pérez-Ludeña-FINAL-CHINESE-version.pdf,,
No 121:,China needs to complement its “going-out” policy with a “going-in” strategy,No 121:,/sites/default/files/content/docs/publications/No-121-Sauvant-and-Chen-FINAL.pdf,",” by Karl P. Sauvant and Victor Z. Chen",
,中文版,"The authors suggest the main components of a going-in strategy for China’s outward FDI, to assuage skeptics, avoid backlash and build trust in host country communities. ",/sites/default/files/content/docs/publications/No-121-Sauvant-and-Chen-FINAL-CHINESE-version.pdf,,
No. 120:,Which host country government actors are most involved in disputes with foreign investors?,No. 120:,/sites/default/files/content/docs/publications/No-120-Caddel-and-Jensen-FINAL-WEBSITE-version.pdf,",” by Jeremy Caddel and Nathan M. Jensen.",
,中文版,"Using data on international investment arbitration, the authors catalog the types of state actors involved in disputes and the actions that lead to arbitration. We find that the majority of disputes are the result of actions taken by the executive branch. ",/sites/default/files/content/docs/publications/No-120-Caddel-and-Jensen-FINAL-CHINESE-version.pdf,,
No. 119:,The Transatlantic Trade and Investment Partnership: A critical perspective,No. 119:,/sites/default/files/content/docs/publications/No-119-Geiger-FINAL.pdf,",” by Rainer Geiger.",
,中文版,The Transatlantic Trade and Investment Partnership offers great opportunity. This ,/sites/default/files/content/docs/publications/No-119-Geiger-FINAL-CHINESE-version.pdf, discusses the conditions for successfully concluding the agreement while avoiding the pitfalls of past investment treaty negotiations. ,
No. 118:,Regional concentration of FDI involves trade-offs in post-reform India,No. 118:,/sites/default/files/content/docs/publications/No-118-Nunnenkamp-Liu-and-Bickenbach-FINAL.pdf,",” by Peter Nunnenkamp, Wan-Hsin Liu and Frank Bickenbach.",
,中文版,"The concentration of FDI in India has increased since the reform program in the early 1990s as an ever larger number of districts do not attract any projects and the intensive margin of concentration has increased. These trends hold for essentially all types and sources of FDI, while the average level of concentration varies considerably between these types and sources. ",/sites/default/files/content/docs/publications/No-118-Nunnenkamp-Liu-and-Bickenbach-FINAL_0.pdf,,
No. 117:,Multilateral investment disciplines: Don’t forget the GATS!,No. 117:,/sites/default/files/content/docs/publications/No-117-Adlung-FINAL.pdf,",” by Rudolf Adlung.",
,中文版,"In discussions about the need for, and possible role of, a multilateral framework for investment, existing obligations under the General Agreement on Trade in Services (GATS) are seldom acknowledged. However, some two-thirds of the world’s FDI stock are in services and, thus, potentially subject to the GATS which, in addition to MFN clauses in BITs, operates as an external “multilateralizer” of trade and investment conditions in services. ",/sites/default/files/content/docs/publications/No-117-Adlung-FINAL-CHINESE-version.pdf,,
No. 116:,The case for a framework agreement on investment,No. 116:,/sites/default/files/content/docs/publications/No_116_-_Hufbauer_and_Stephenson_-_FINAL.pdf,",” by Gary Hufbauer and Sherry Stephenson.",
,中文版,"Looking at a rear-view mirror, skeptics assert that efforts to create a plurilateral Investment Framework Agreement (IFA) are doomed. We argue that conditions on the ground have changed: in the 2010s, unlike the 1990s, many countries would welcome an IFA under WTO auspices. ",/sites/default/files/content/docs/publications/No_116_-_Hufbauer_and_Stephenson_-_FINAL_-_CHINESE_version.pdf,,
No. 115:,The “spaghetti bowl” of IIAs: The end of history?,No. 115:,/sites/default/files/content/docs/publications/No-115-Karl-FINAL.pdf,",” by Joachim Karl.",
,中文版,"The universe of international investment agreements continues to grow, albeit at a slow pace and with a focus on regional agreements. This may further reduce the prospects for multilateral investment rulemaking and perpetuate the existing structure of the IIA regime. ",/sites/default/files/content/docs/publications/No-115-Karl-FINAL-CHINESE-version.pdf,,
No. 114:,Government-held equity in foreign investment projects: Good for host countries?,No. 114:,/sites/default/files/content/docs/publications/No_114_-_Wells_-_FINAL.pdf,",” by Louis T. Wells.",
,中文版,"Host governments have often sought some equity in mining and other foreign investment projects, but as shareholders they have rarely gained what they anticipated. Only in special cases might the benefits to governments outweigh the risks and often unanticipated costs governments encounter. ",/sites/default/files/content/docs/publications/No_114_-_Wells_-_FINAL_-_Chinese_version.pdf,,
No. 113:,Recalibrating interpretive authority,No. 113:,/sites/default/files/content/docs/publications/FDI_No113.pdf,",” by Anthea Roberts.",
,中文版,"In newer-style investment treaties, states are increasingly protecting and enhancing their role in interpreting and applying their treaties. This evidences an important shift underway in the investment treaty system: the recalibration of interpretive authority between treaty parties and arbitral tribunals.",/sites/default/files/content/docs/publications/No_113_-_Roberts_-_FINAL_-_CHINESE_version.pdf,,
No. 112:,The China-United States BIT negotiations: A Chinese perspective,No. 112:,/sites/default/files/content/docs/publications/FDI_No112.pdf,",” by Sheng Zhang.",
,中文版,This ,/sites/default/files/content/docs/publications/FDI_112_Chinese.pdf," adds another dimension to the ongoing China-US BIT negotiations from a Chinese perspective. The negotiation of a successful BIT requires best endeavors from both sides, and China’s recent FDI policy movements toward a more liberal regulatory framework point to increased coherence in the positions of the two countries in the context of the BIT negotiations. ",
No. 111,Minority rules: State ownership and foreign direct investment risk mitigation strategy,No. 111,/sites/default/files/content/docs/publications/No_111_-_James_and_Vaaler_-_FINAL_-_with_Figure.pdf,",” by Barclay E. James and Paul M. Vaaler.",
,中文版,"In countries where policies protecting private investor rights are more susceptible to change, substantial minority state ownership in a project can substantially decrease overall investment project risk. Sometimes, some state ownership in a project is just the thing to keep the state from changing important terms in the original agreement to the detriment of private co-investors. ",/sites/default/files/content/docs/publications/FDI_111_Chinese.pdf,,
